mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-976185,NaBeO3,5,Na1 Be1 O3,3.589369,3.589369,3.589369,90,90,90,cubic,Pm-3m,3.0194623,-5.310983884,-1.325980552,0.459261113,FALSE,2.872668967,0,FALSE,46.24388611,"{'voigt': 109.135, 'reuss': 109.135, 'vrh': 109.135}","{'voigt': 30.384, 'reuss': 30.359, 'vrh': 30.372}"
mp-23054,NaBiO3,10,Na1 Bi1 O3,6.188547629,6.188547901,6.188547465,53.82550302,53.8255118,53.82551821,trig,R-3,0,-5.595388328,-1.580260707,0,TRUE,6.48368124,1.0964,FALSE,143.4056973,"{'voigt': 24592730.389, 'reuss': -15523.396, 'vrh': 12288603.496}","{'voigt': -2447381984.355, 'reuss': -237237.264, 'vrh': -1223809610.809}"
mp-1180213,NaBrO3,20,Na1 Br1 O3,7.124209,7.685813231,8.166172108,87.44489844,85.89005659,78.73787479,tri,P1,5.020679,-3.863560895,-0.299050829,0.700010647,FALSE,2.292478117,0,FALSE,437.1897956,,
mp-1189541,NaBrO3,20,Na1 Br1 O3,7.779176,7.779176,7.779176,90,90,90,cubic,P2_13,0.0004822,-4.431377761,-0.866867695,0.132193781,FALSE,2.128993931,4.5929,FALSE,470.7613416,,
mp-1413617,NaBrO3,20,Na1 Br1 O3,7.749286,7.387425,7.536830167,89.69588394,90,90,ortho,P2_12_12_1,0.0271274,-3.954399958,-0.389889892,0.609171584,FALSE,2.322939129,0,FALSE,431.4568672,,
mp-23339,NaBrO3,20,Na1 Br1 O3,6.64015405,6.64015405,6.64015405,90,90,90,cubic,P2_13,0,-4.563571542,-0.999061476,0,TRUE,3.423266817,4.4812,FALSE,292.7753205,"{'voigt': 27.038, 'reuss': 27.038, 'vrh': 27.038}","{'voigt': 16.287, 'reuss': 16.176, 'vrh': 16.231}"
mp-608595,NaBrO3,20,Na1 Br1 O3,7.536830314,7.749285304,7.387425298,89.94961561,89.69588643,89.80975002,mono,P2_1,7.9975044,-4.065098086,-0.50058802,0.498473457,FALSE,2.322952867,0.0808,FALSE,431.4543156,,
mp-1120755,NaCO3,10,Na1 C1 O3,6.326281536,6.326281816,6.32628419,47.00053274,47.00033762,47.000409,trig,R-3c,2.0000001,-6.870565966,-1.787712109,0,TRUE,2.226615596,0.6623,FALSE,123.7955335,,
mp-727242,NaCO3,20,Na1 C1 O3,9.15164117,3.460615926,8.213215058,71.88998346,90,90,mono,P2_1/c,4,-6.868757732,-1.785903875,0.001808234,FALSE,2.229873118,0.6706,FALSE,247.2293723,,
mp-1078750,NaCaH3,10,Na1 Ca1 H3,3.630551,6.814403247,6.865981052,117.0100006,99.71238681,95.21055401,tri,P-1,0,-4.646388131,-0.452825836,0.064464225,FALSE,1.498962107,1.9794,FALSE,146.4315415,,
mp-1078933,NaCaH3,10,Na1 Ca1 H3,6.111790511,6.111790511,6.111790197,57.39224941,57.39224941,57.39225342,trig,R3c,6.25E-05,-4.640465399,-0.446903104,0.070386957,FALSE,1.446477697,3.312,FALSE,151.7447054,,
mp-1221112,NaCaN3,20,Na1 Ca1 N3,12.85193346,12.5086027,5.861908121,79.92474785,73.39075682,26.68449533,ortho,Fddd,24.0011058,-4.421418096,1.251012683,1.721055264,FALSE,1.752103271,0,FALSE,398.3840799,,
mp-1186118,NaCaO3,5,Na1 Ca1 O3,4.506638,4.506638,4.506638,90,90,90,cubic,Pm-3m,3,-4.958331354,-1.320090619,0.546416482,FALSE,2.014986243,0,FALSE,91.52885364,,
